pk_UUID,Pure_IUPAC_name,Pure_Molecular_Weight,Pure_Molecular_Formula,Pure_CAS,Pure_Synonyms,Pure_LFL_LEL,Pure_UFL_UEL,Pure_Flash_Point,Pure_Flash_Point_Measured,Pure_Autoignition_Temp,Pure_Peroxide Former,Pure_Rat_ Oral_LD50,Pure_OSHA_Categories,Pure_Comments,Pure_Melting_Point,Pure_Measured_or_predicted_melting_point,Pure_Source_melting_point,Pure_Boiling_Point,Pure_Measured_or_predicted_boiling_point,Pure_Source_boiling_point,Pure_Density,Pure_Density_units,Pure_Density_Temp,Pure_source_density,Pure_Density_Measured,Pure_Viscosity,Pure_viscosity_units,Pure_viscosity_Temp,Pure_Viscosity_source,Pure_Heat_of_Vaporization,Pure_HoV_units,Pure_HoV_temperature,Pure_HoV_source,Pure_Heat_of_Vaporization_kg,Pure_Vapor_Pressure,Pure_vapor_pressure_units,Pure_temperature_vapor_pressure,Pure_source_vapor_pressure,Pure_DVPE,Pure_LHV,Pure_LHV_units,Pure_source_LHV,Pure_LHV_volume,Pure_Critical Pressure,Pure_Critical_Temperature,Pure_Acentric_Factor,Pure_Lubricity,Pure_Corrosion,Pure_Stability,Pure_Surface_Tension,Pure_Surface_Tension_Test_Temp,Pure_PMI,Pure_MON,Pure_source_MON,Pure_RON,Pure_source_RON,Pure_DCN,Pure_measured_or_predicted_DCN,Pure_source_DCN,Pure_Water_Solubility,Pure_water_solubility_units,Pure_measured_or_predicted_water_solubility,Pure_temperature_water_solubility,Pure_source_water_solubility,Pure_Dispersion,Pure_Polarity,Pure_Hydrogen_Bonding,Pure_Supplier,Univ_Carbon_Weight,Univ_Hydrogen_Weight,Univ_Oxygen_Weight,Univ_Sulfur,Univ_Nitrogen,Univ_source_CHNSO,Pure_Stoichiometric Air to Fuel Ratio,Pure_HOV to Stoichiometric Air to Fuel Ratio,------------------------,Blend_Name,Blend_Primary Component,Blend_Secondary Component,Blend_Other Components,Blend component primary CAS,Blend component secondary CAS,Blend_component other CAS,Blend_Peroxide Former,Blend_Flash point,Blend_Cloud Point,Blend_Cloud_Point_Other,Blend_Predicted Cloud Point,Blend_Density,Blend_Density Units,Blend_Density Temperature,Blend_Density Source,Blend_viscosity,Blend_viscosity_units,Blend_viscosity_temp,Blend_viscosity_source,Blend_HoV,Blend_HoV_units,Blend_HoV_temp,Blend_HoV_source,Blend_DVPE,Blend_DVPE_units,Blend_DVPE_temp,Blend_DVPE_source,Blend_LHV,Blend_LHV_units,Blend_LHV_source,Blend_Peroxide Value,Blend_Peroxide Value Other,Blend_Acid Value,Blend_acid value other,Blend_MON,Blend_source MON blend,Blend_MON1,Blend_MON2,Blend_MON3,Blend_MON1_percent,Blend_MON2_percent,Blend_MON3_percent,Blend_MON_Source,Blend_RON,Blend_Source RON blend,Blend_RON1,Blend_RON2,Blend_RON3,Blend_RON1_percent,Blend_RON2_percent,Blend_RON3_percent,Blend_RON_Source,Blends_DNC,Blends_DNC_Source,Blend_PMI,Blend_Source PMI blend,Blend_measured_or_predicted_YSI,Blend_YSI,Blend_Source YSI blend,Blend_Oxidation Stability,Blend_Ox stab other,Blend_Themal Stability,Blend_thermal stability other,Blend_Corrosion_Other,Blend_Corrosion,Blend_Comments,___Identifier,CAS_filtered,CAS_Blend_list,Distillation curve IBP,Distillation T5,Distillation T10,Distillation T15,Distillation T20,Distillation T30,Distillation T40,Distillation T50,Distillation T60,Distillation T70,Distillation T80,Distillation T90,Distillation T95,Distillation FBP,Distallation_Source,Recovered,Residue,Loss,concat_name_cas2,concat_description,Pure_Functional_group,Pure_Lubricity_Comments,Pure_PMI_Comments,Pure_Surface_Tension_Comments,Pure_BioCompatability,Pure_BioCompatability_Comments,Blends_CAS_Primary_filtered,Blends_CAS_Secondary_filtered,Blends_CAS_Other_filtered,Pure_Blending Octane Information Ron,Pure_Blending Octane Information Mon,Blends_Fuel_Blends_search,Blend_Stoichiometric Air to Fuel Ratio,Blend_HOV to Stoichiometric Air to Fuel Ratio
"5F90246C-2209-46F5-A633-80AAE87058ED","(1E,4E)-1,5-bis(5-(hydroxymethyl)furan-2-yl)-penta-1,4-dien-3-one","274.27","C15H14O5","1180532-36-8","","","","","","","","","","No information available","","","No melting point data available","497.7","Predicted","Scifinder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Synthetic routes available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","1.1805e+09","","","","","","","","","","","","","","","","","","","","(1E,4E)-1,5-bis(5-(hydroxymethyl)furan-2-yl)-penta-1,4-dien-3-one","IUPAC Name:	(1E,4E)-1,5-bis(5-(hydroxymethyl)furan-2-yl)-penta-1,4-dien-3-oneIUPAC Name:	(1E,4E)-1,5-bis(5-(hydroxymethyl)furan-2-yl)-penta-1,4-dien-3-oneIUPAC Name:	(1E,4E)-1,5-bis(5-(hydroxymethyl)furan-2-yl)-penta-1,4-dien-3-oneIUPAC Name:	(1E,4E)-1,5-bis(5-(hydroxymethyl)furan-2-yl)-penta-1,4-dien-3-one","furan alcohol ketone","","","","","","","","","","","","",""
"9CB614FC-B063-47BE-9D42-CCF99C858DFB","(1E,4E)-1,5-di(furan-2-yl)-1,4-pentadien-3-one","214.22","C13H10O3","886-77-1","(1E,4E)-1,5-di(furan-2-yl)penta-1,4-dien-3-one","","","","","","","","","No information available","60.5","measured","Scifinder","347.9","Predicted","Scifinder BP: 183°C @ 4 torr, predicted ACD labs","1.2","g/cm3","20","Scifinder","predicted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alfa Chemical, request quote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","886771","","","","","","","","","","","","","","","","","","","","(1E,4E)-1,5-di(furan-2-yl)-1,4-pentadien-3-one","IUPAC Name:	(1E,4E)-1,5-di(furan-2-yl)-1,4-pentadien-3-oneIUPAC Name:	(1E,4E)-1,5-di(furan-2-yl)-1,4-pentadien-3-oneIUPAC Name:	(1E,4E)-1,5-di(furan-2-yl)-1,4-pentadien-3-oneIUPAC Name:	(1E,4E)-1,5-di(furan-2-yl)-1,4-pentadien-3-one","furan ketone","","","","","","","","","","","","",""
"F9B206F5-45F1-4867-B0D6-49B175B46A3E","(4E)-nonene (racemic)","126.24","C9H18","2198-23-4 ","non-4-ene","","","27.2","Predicted","","No","","1","Aspiration","-56.7","Predicted","EPI Suite Chemspider","145","measured","Scifinder",".732","g/cm3","18","Scifinder","Measured","","","","","36.7","","25","Predicted Chemspider ACD labs","290.71","","","","","","","","","","","","","","","","23.9","","","-16.7","Predicted Ind. Eng. Chem. Res. 2003, 42, 657-662","8.8","Predicted Ind. Eng. Chem. Res. 2003, 42, 657-662","46.9","Predicted","Dahmen and Marquardt Energy Fuels 2015, 29, 5781 5801","3.619","","Predicted","25","EPI Suite Chemspider","15.4","2.2","1.0","TCI, 5 mL $121.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","2198234","","","","","","","","","","","","","","","","","","","","(4E)-nonene (racemic)","IUPAC Name:	(4E)-nonene (racemic)IUPAC Name:	(4E)-nonene (racemic)IUPAC Name:	(4E)-nonene (racemic)IUPAC Name:	(4E)-nonene (racemic)","alkene","","","Predicted ACD labs Chemspider","No issues predicted","","","","","","","","",""
"D8FFF9FF-AF9B-45CF-A3D3-032394B87B07","(6Z,9Z)-octadeca-6,9-diene","250.46","C18H34","6114-20-1","","","","","","","No","","","No information available","-45","Measured","Scifinder","307","measured","Scifinder",".8","g/cm3","20","Scifinder","predicted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No commercial sources, no synthetic routes, references available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","6114201","","","","","","","","","","","","","","","","","","","","(6Z,9Z)-octadeca-6,9-diene","IUPAC Name:	(6Z,9Z)-octadeca-6,9-dieneIUPAC Name:	(6Z,9Z)-octadeca-6,9-dieneIUPAC Name:	(6Z,9Z)-octadeca-6,9-dieneIUPAC Name:	(6Z,9Z)-octadeca-6,9-diene","alkene","","","","","","","","","","","","",""
"A2EBC07B-ABC6-439B-9146-A779D84FC92D","(E)-4-(5-hydroxyfuran-2-yl)-but-3-en-2-one","152.05","C8H8O3","N/A","","","","","","","","","","No information available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not available in Scifinder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","","","","","","","","","","","","","","","","","","","","","(E)-4-(5-hydroxyfuran-2-yl)-but-3-en-2-one","IUPAC Name:	(E)-4-(5-hydroxyfuran-2-yl)-but-3-en-2-oneIUPAC Name:	(E)-4-(5-hydroxyfuran-2-yl)-but-3-en-2-oneIUPAC Name:	(E)-4-(5-hydroxyfuran-2-yl)-but-3-en-2-oneIUPAC Name:	(E)-4-(5-hydroxyfuran-2-yl)-but-3-en-2-one","furan alcohol ketone","","","","","","","","","","","","",""
"945F61F6-3E7F-455B-A6D7-40FE413734D1","(Z)-7,7'-(4,8-diheptylcyclooct-2-ene-1,5-diyl)-diheptanoic acid","562.92","C36H66O4","N/A","","","","","","","","","","No information available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not found in Scifinder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","","","","","","","","","","","","","","","","","","","","","(Z)-7,7'-(4,8-diheptylcyclooct-2-ene-1,5-diyl)-diheptanoic acid","IUPAC Name:	(Z)-7,7'-(4,8-diheptylcyclooct-2-ene-1,5-diyl)-diheptanoic acidIUPAC Name:	(Z)-7,7'-(4,8-diheptylcyclooct-2-ene-1,5-diyl)-diheptanoic acidIUPAC Name:	(Z)-7,7'-(4,8-diheptylcyclooct-2-ene-1,5-diyl)-diheptanoic acidIUPAC Name:	(Z)-7,7'-(4,8-diheptylcyclooct-2-ene-1,5-diyl)-diheptanoic acid","acid","","","","","","","","","","","","",""
"0DA9FA50-0EE8-411D-85C3-2066DBD36FAA","(9Z)-octadecene","252.48","C18H36","1779-13-1","","","","150.4","Predicted","","No","","","No information available","-1","Measured","Scifinder","310","Measured","Scifinder",".782","g/cm3","31","Scifinder, also 0.795 reported @31C","Measured","","","","","54.2","","","ChemSpider Predicted/ ACD Labs","214.6","","","","","","","","","","","","","","","","28.2","","","","","","","","","","0.0001466","","Predicted","25","ChemSpider/ EPI Suite","","","","No commercial sources, synthetic routes available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","1779131","","","","","","","","","","","","","","","","","","","","(9Z)-octadecene","IUPAC Name:	(9Z)-octadeceneIUPAC Name:	(9Z)-octadeceneIUPAC Name:	(9Z)-octadeceneIUPAC Name:	(9Z)-octadecene","alkene","","","ChemSpider Predicted/ ACD Labs","","","","","","","","","",""
"5AB0005F-F5A2-4573-AACB-68F308FCD36A","1-Octadecanol","270.49","C18H38O","112-92-5","Stearyl alcohol, Octadecan-1-ol","1.0","8.0","200","Measured","450","No",">5000","Not hazardous","No serious warnings, No GHS label elements","59.5","measured","Scifinder","334.3","Measured","Scifinder ","0.8124","","59","Pub Chem","Measured","","","","","66.9","","","Predicted ACD labs Chemspider","247.32","0.133","","150","Pubchem","","","","","","","","","","","","31.4","","","","","","","81","Measured","NREL IQT Compendium","0.0011","","Measured","25","Yalkowsky, J Pharm Sci 1980","","","","Sigma, 100g: $38.80 (pure), 95%, 1 kg is $58.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","112925","","","","","","","","","","","","","","","","","","","","1-Octadecanol","IUPAC Name:	1-OctadecanolIUPAC Name:	1-OctadecanolIUPAC Name:	1-OctadecanolIUPAC Name:	1-Octadecanol","alcohol","","","Predicted ACD labs Chemspider","","","","","","","","","",""
"C0B96A17-2FEC-4137-9B0E-12916ADA9AFA","(1R,2R)-1,2-cyclohexanediol","116.16","C6H12O2","1460-57-7","1, 2- Cyclohexanediol","","","","","","No","","No hazardous","No GHS label elements","103","measured","Scifinder","233","measured","Alfa Aesar","1.156","","20","Scifinder","Predicted","","","","","55","","","Predicted ACD labs, Chemspider","473.48","","","","","","","","","","","","","","","","40.7","","","","","","","","","","6592","","Predicted","25","EPI Suite Chemspider","","","","Sigma, cis: 1g: $31.50, trans: 10g: $81.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","1460577","","","","","","","","","","","","","","","","","","","","(1R,2R)-1,2-cyclohexanediol","IUPAC Name:	(1R,2R)-1,2-cyclohexanediolIUPAC Name:	(1R,2R)-1,2-cyclohexanediolIUPAC Name:	(1R,2R)-1,2-cyclohexanediolIUPAC Name:	(1R,2R)-1,2-cyclohexanediol","alcohol","","","Predicted ACD labs, Chemspider","","","","","","","","","",""
"ED7A294E-561C-4458-9501-872C0F65447F","1, 2- Propanediol","76.09","C3H8O2","57-55-6","propylene glycol","2.6","12.6","101","Measured","420","No","22000","not hazardous","No serious warnings, No GHS label elements","-59","Measured","Scifinder","188.2","Measured","Scifinder","1.036","g/cm3","20","Pub Chem","measured","0.561","","20","Pubchem","53.7","","188","Measured Pub Chem","705.74","0.006","","20","Pub Chem ","","","","","","","","","","","","40.1","25","","","","","","5.6","Predicted","Dahmen and Marquardt Energy Fuels 2015, 29, 5781 5801","1000000","","Measured","20","Yalkowsky, 1992","16.8","9.4","23.3","Sigma, 1Kg: $70, can oxidize under high temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pure Compounds","57556","","","","","","","","","","","","","","","","","","","","1, 2- Propanediol","IUPAC Name:	1, 2- PropanediolIUPAC Name:	1, 2- PropanediolIUPAC Name:	1, 2- PropanediolIUPAC Name:	1, 2- Propanediol","alcohol","","","Pub Chem","No issues predicted","","","","","","","","",""
